Price,Artist,Title,link,Suburb,Tag 1,Tag 2
$300.00,Natasha Allen,Mountains with Yellow Flowers,https://drive.google.com/file/d/1NE_3nseAi9853y8RpcsoZMv43Pev8g3L/view?usp=drive_link,Chatswood,Natural,Serene
$350.00,Natasha Allen,Mountains Purple,https://drive.google.com/file/d/1QxARu9OHGaSdDBt1YzfAp1Hzjs6mRrrh/view?usp=drive_link,Belmore,Refined,Serene
$400.00,Natasha Allen,Mountains Grass and Tree,https://drive.google.com/file/d/1HJTirlVoqGz4vaGL0RLJR4WEemBvN-Y3/view?usp=drive_link,Bondi Beach,Natural,Wholesome
$100.00,Natasha Allen,Crashing Wave,https://drive.google.com/file/d/1ZDKgy9DVtYQUO_tFuUR8BMEiJkxr8ppw/view?usp=drive_link,Coogee,Coastal,Invigorating
$500.00,Natasha Allen,Dessert Tree Purplr,https://drive.google.com/file/d/19ni2QbNl_kVgY4Y0CZvdumbjfDKKndBH/view?usp=drive_link,Bronte,Artisanal,Innovative
"$1,000.00",Heidi Lee Warta,Tawny,https://drive.google.com/file/d/1pxtNY5l5wIQLNb9Xg7Gm9d6eapn8c_RZ/view?usp=drive_link,Manly,Refined,Elegant
$900.00,Heidi Lee Warta,Kookaburra,https://drive.google.com/file/d/1R8EoG5_G_Qnr493GQ6lMcds9g516vjiF/view?usp=drive_link,Mosman,Wholesome,Expressive
$700.00,Heidi Lee Warta,Fairy Wren's,https://drive.google.com/file/d/1iJd3f5ck6gFuuSVBwCmDw8ZzHbztNwhn/view?usp=drive_link,Woollahra,Wholesome,Natural
$850.00,Chris Mercer,Art,https://drive.google.com/file/d/112F-zhTI8sJjGodHj4pnxGHEfneo68KR/view?usp=drive_link,Neutral Bay,Cosmopolitan,Eclectic
"$4,000.00",Yelena Revis,Whisper of the Wind,https://drive.google.com/file/d/1VoDZco5pskwFi6V3KkOxLN2u8EbYN5zB/view?usp=drive_link,Cremorne,Serene,Harmonic
"$5,000.00",Yelena Revis,Silent Expanse,https://drive.google.com/file/d/1gUa4ujLnu_oIM4OK1baDLbhzAIzjycDU/view?usp=drive_link,Parramatta,Serene,Refined
"$3,500.00",Yelena Revis,Garden of the Eden,https://drive.google.com/file/d/1pXFXDobhC8itlCi_2t-hOqgEnS9gHfxd/view?usp=drive_link,Penrith,Cultivated,Natural
"$2,900.00",Chantelle Steward,Paper Daises,https://drive.google.com/file/d/1gVMZfu3tyUf0vi4vbB-LBA6bTpqm8eJC/view?usp=drive_link,Cronulla,Wholesome,Artisanal
"$10,000.00",Stephen Evans,Sydney Harbour,https://drive.google.com/file/d/1mSQs9zoF92YjDSu8qtIhA0jIj6iqkME8/view?usp=drive_link,Miranda,Iconic,Vibrant
"$10,000.00",Stephen Evans,Nike,https://drive.google.com/file/d/1sdhvSKmYNBm8IGpq3qd33Uq7LPo-j3ER/view?usp=drive_link,Liverpool,Dynamic,Progressive
"$10,000.00",Michelle Purves,Floating in Honey Clouds,https://drive.google.com/file/d/1fo_bO5zkkXEtCYvpeiBskW7LHSercf9-/view?usp=drive_link,Campbelltown,Serene,Wholesome
"$10,000.00",Michelle Purves,Whisper of Celestial Dreams,https://drive.google.com/file/d/1ts8zKBo8_HWqq5pYTRMwaSrZJDeVJuQA/view?usp=drive_link,Hornsby,Sophisticated,Serene
"$10,000.00",Michelle Purves,Harmony in Blue,https://drive.google.com/file/d/1ILJte2JDPYouWAUHQBSetU_j7LASdPan/view?usp=drive_link,Ku-ring-gai,Harmonic,Elegant
"$10,000.00",Ian Hansen,A Fast Passage,https://drive.google.com/file/d/1Rub0_OwJYyDW3tW6rrLniqIn3_LSDpcl/view?usp=drive_link,Balmain,Dynamic,Energetic
"$10,000.00",Ian Hansen,Bass Strait Sea Waves,https://drive.google.com/file/d/17ey5xF_TIdga0Uii2nfUTpX1-hQIx5FI/view?usp=drive_link,Rozelle,Coastal,Invigorating
"$4,000.00",Mark Kensington,Rose Flower,https://drive.google.com/file/d/1mbuqqaddcv5_GwByJTarWDS0iHXpf9VG/view?usp=drive_link,Alexandria,Elegant,Cultivated
"$5,000.00",Mark Kensington,Beach Scene,https://drive.google.com/file/d/1GUYfHrsKua7EbuU-i5KRnHTPK4kIPv2T/view?usp=drive_link,Waterloo,Coastal,Wholesome
"$4,500.00",Melony Kara Smith,Within The Magic,https://drive.google.com/file/d/1jvfgj6HlFVsK6mMx1dSBUKi3UWWFIsv2/view?usp=drive_link,Liverpool,Expressive,Eclectic
"$4,000.00",Melony Kara Smith,Temple of Trees,https://drive.google.com/file/d/1du1cjnXbxvWZtgyYODeBMJE-wObND-i3/view?usp=drive_link,Cremorne,Cultivated,Natural
"$5,000.00",Melony Kara Smith,Submerged Serinity,https://drive.google.com/file/d/19TZCweqW75_msMTesIrUney9T0AXS62m/view?usp=drive_link,Parramatta,Serene,Refined
"$2,600.00",Melony Kara Smith,Floated,https://drive.google.com/file/d/14a6xoITYKGO9M3qrd-TCSNaRWcmNwc90/view?usp=drive_link,Hornsby,Innovative,Serene
"$4,500.00",Joanna Cole,Oil on Linen,https://drive.google.com/file/d/1Y1IM-eyyyBw2_go0wkxq6zyFMvrsQD1o/view?usp=drive_link,Woollahra,Artisanal,Polished
"$2,500.00",Joanna Cole,Oil on Board,https://drive.google.com/file/d/1rRk7oXwvglRpfH2-hJqSQmFKedLpBJnJ/view?usp=drive_link,Balmain,Artisanal,Refined
"$1,800.00",Joanna Cole,Gaucin Gums,https://drive.google.com/file/d/10Zrl9BeJz1I5bj9UB5KdBAaM--B6xbRQ/view?usp=drive_link,Parramatta,Natural,Crafted
"$5,000.00",Guy Morgan,The Emperor's Retreat,https://drive.google.com/file/d/1TkHH50RVJo6TaTGUdOgMdjbqIAo44R2n/view?usp=drive_link,Hornsby,Sophisticated,Cultured
